ch1,ch2
4748,6671
4356,7537
3978,8175
15032,6935
15741,10036
16314,13453
16768,16683
17135,19538
17493,21036
17877,20842
18276,18948
18863,15830
19177,12302
18978,9448
18021,7158
4603,6712
4250,7855
3850,9399
4079,10790
4957,11938
5849,12609
6640,12796
7253,12006
7561,10226
7394,7930
4891,7814
6461,7096
7621,8167
7155,10205
6796,11077
6646,10550
6653,9086
6700,7368
4236,7067
3908,8088
4362,8200
6277,8877
8311,8530
10131,7603
16434,7137
17203,9599
17874,12404
18446,15365
18949,17954
19434,19311
19934,19078
20447,17243
20845,14518
20951,11847
20867,9518
20108,7784
4168,7874
3803,9261
3910,13060
4616,14281
5403,14878
6190,14626
6878,13743
7273,11836
7222,9411
6663,7067
3847,8931
3822,7920
4294,6802
7261,7721
7444,10294
7421,12172
7355,12617
7157,11535
7341,9541
7609,7410
3824,7821
5103,9914
7332,10431
9648,9761
11634,8505
13014,7295
16048,6775
16826,7975
17616,9608
18358,11730
19029,14017
19640,16066
20235,17064
20831,16714
21409,15372
21877,13575
22078,11857
21794,10227
20843,8653
19491,7332
4053,7193
4043,13796
4409,15058
4946,15698
5627,15465
6241,14378
6622,12890
6597,10809
6107,8685
5225,6938
4190,10869
4684,9485
4766,8031
3918,11463
4068,11502
5790,6706
6422,8983
6866,11132
7121,12447
7171,12413
7086,11064
7141,8992
7700,6888
3820,7966
3928,9098
4406,7554
5395,9800
7723,10047
10077,9241
12068,8007
13422,6903
14371,6886
14398,7546
14570,7941
14945,8201
15503,8575
16197,9279
16950,10193
17700,11634
18410,13160
19084,14380
19734,15041
20375,14963
20981,14101
21475,13213
21733,12057
21573,10663
20822,9275
19365,8100
17511,7237
15329,6688
8240,6780
6744,6824
3864,17894
4213,14486
4529,14285
4799,15047
5078,15170
5578,14551
5880,13301
5829,12010
5382,10538
4595,9176
4273,11075
4832,9416
4933,7830
4212,10328
5602,10603
6657,10473
6971,10115
6404,9624
5184,9202
3853,7155
4012,7030
4041,7846
4597,8055
5361,8851
5915,10090
6260,10615
6430,10172
6452,8887
6386,7193
3939,7781
3774,9703
3906,12965
5084,13877
5680,13372
5405,12166
4410,10703
3976,8309
5157,8318
7331,8379
9541,7658
13363,7645
13579,9274
13543,10419
13459,10966
13481,11041
13693,10932
14085,10880
14636,11058
15275,11493
15957,12220
16634,13224
17305,13972
18002,14253
18708,14181
19298,13754
19721,12872
20028,11659
19997,10323
19494,9077
18433,8082
16813,7439
14911,7162
13119,7498
11234,8402
9436,9211
8098,9577
7002,9309
5906,8495
5039,7417
3973,17574
4277,14562
4537,12955
4742,13379
4878,13892
5015,14024
5223,13718
5139,13086
4724,12345
4102,11695
3768,11136
3777,10242
4217,8642
4262,7285
4398,8903
6586,8970
8939,8738
10744,8256
11312,7654
10369,6979
3907,15238
4151,6713
3975,6727
4428,7339
4464,8909
4421,10041
4375,10552
4294,10398
4702,9978
5115,8915
5389,7300
4115,7181
3948,9608
3809,11565
5373,9375
7055,10349
7899,10290
7465,9545
5990,8701
4167,7737
11373,8459
12050,10749
12248,12737
12157,14026
11961,14473
11824,14261
11826,13745
12007,13259
12339,13014
12799,13118
13372,13519
14095,14036
14869,14450
15634,14535
16383,14137
17040,13233
17546,11920
17778,10427
17658,8977
17109,7771
16415,6941
14004,6751
12526,7916
11382,9461
10152,10994
9082,11923
8257,11795
7212,10644
5982,8865
4866,7046
4011,16046
4265,14080
4458,11839
4592,12085
4669,12480
4678,12766
4739,13377
4645,13871
4287,14202
4008,14427
3798,6913
6304,6873
4312,11530
5477,12560
6320,13672
6538,14568
5863,14924
4579,14622
4977,7637
5004,9363
4947,10848
4810,11986
4718,12510
4613,12278
4509,11208
4420,9375
4550,7081
4125,8135
3950,9400
3798,9936
8602,6786
8930,7255
10091,9533
10711,11980
10845,14156
10642,15650
10287,16282
9932,16147
9687,15577
9656,14942
9766,14517
10084,14398
10547,14518
11155,14717
11884,14748
12630,14346
13351,13396
13989,11952
14506,10216
14918,8458
15065,6933
11699,6750
10884,8497
10341,10351
9591,11654
8949,11880
8050,10703
6770,8536
3967,14708
4168,13391
4295,11698
4369,10462
4392,10809
4372,11511
4422,12465
4350,13713
4068,15203
3899,16590
4479,9559
6203,9824
7850,10486
9112,11426
9296,12445
8246,13286
6403,13723
4384,13674
4769,6992
4798,7325
4832,7485
4970,7454
5139,7240
5295,6866
5400,6814
5435,8741
5373,10509
5228,11967
5097,12746
4989,12741
4869,11794
4756,10005
4778,7681
4091,6730
9158,8658
9697,10978
9691,13180
9312,14905
8808,15860
8296,16053
8094,15693
8313,15185
8703,14754
9119,14434
9535,14140
9903,13808
10213,13420
10425,12621
10538,11342
10812,9678
11431,7855
9943,7618
9736,9120
9151,9526
8196,8558
6939,6687
5323,7226
6856,6868
3785,13664
3791,13733
3945,13088
4027,11965
4053,10615
4040,9572
4141,10278
4244,11342
4232,12979
4059,14992
3843,22791
4060,22754
3793,22222
4946,6784
3939,8127
5742,7619
7817,7508
9857,7831
11114,8544
11099,9537
9752,10629
7545,11574
5169,12175
5092,6785
5022,7636
5073,8277
5125,8609
5187,8576
5270,8180
5425,7475
5542,6871
5583,7955
5539,9413
5398,10636
5324,11218
5213,11113
5078,10392
4937,8907
4873,7001
8594,6890
9083,8941
9008,11026
8512,12757
7865,13864
7516,14248
7352,14132
7503,13778
7781,13269
8100,12728
8425,12136
8731,11362
8985,10320
9164,9351
9248,8140
9259,6700
4590,11929
5836,11090
6476,9915
6267,8642
5384,7434
3982,9865
4136,11600
4123,12885
4020,13493
3908,13410
3833,12785
3836,11792
3912,10558
4036,9496
4164,10481
4228,11977
4168,14160
3946,16746
4072,23003
5037,22897
5486,22615
5244,22097
4452,21269
4014,11928
3855,11590
5464,7044
5082,7074
10073,7796
7787,8982
5391,9962
5343,6909
5187,7967
5066,8796
5109,9259
5155,9257
5194,8768
5245,7904
5413,7058
5410,8001
5351,8440
5240,8342
5086,7765
4919,6806
8797,7183
8647,8834
7979,10302
7384,11205
6996,11419
6605,11082
6635,10641
6792,10005
6943,9321
7069,8594
7219,7797
7374,6858
4238,15526
4630,13587
4421,11573
3950,8575
4334,9813
4473,11469
4405,13022
4219,13955
4016,14241
3869,13979
3816,13263
3852,12212
3966,10930
4106,9784
4228,11074
4259,12834
4141,14976
3866,17421
4555,20193
5521,19817
6190,19530
6086,19289
5292,19010
4134,18624
3780,14868
5247,14519
6490,13937
7029,13128
6692,12128
5666,11093
4316,10175
6175,6884
5487,7261
4870,6704
5285,7759
18111,6853
18624,6883
5696,6736
5257,7671
5046,8512
4851,9024
4866,9156
4886,8878
4890,8004
4755,7592
4753,8377
4708,8410
4619,7792
4432,6772
8295,7331
7637,7971
6997,8377
6501,8215
6034,7595
5845,6928
5765,6796
5799,7091
4165,8086
4585,10186
4709,12215
4591,13783
4359,14744
4104,15107
3903,14994
3803,14506
3807,13655
3887,12457
4005,11027
4109,10342
4149,11579
4081,13009
3877,14751
3823,17000
3975,18878
3882,19564
4788,15574
5826,14987
6359,14704
6185,14692
