ch1,ch2
19864,7086
20377,7237
20614,7150
20512,6878
20085,6440
19421,6183
21053,6532
22705,6701
23703,6556
23884,6184
6751,6133
5764,6600
6580,7445
7555,8100
8603,8375
9677,8303
10732,7978
11741,7332
12764,6542
17111,6661
17832,7501
18696,7959
19508,8036
20114,8018
20400,7997
20325,7795
19940,7491
19338,7088
18643,6566
17965,6262
10728,6205
10473,6395
9887,6245
8924,6261
7635,6287
7872,6766
8902,7612
9978,8432
11102,9065
12250,9350
13433,9206
14658,8685
15821,7945
17059,7177
18460,6534
17216,6713
17512,7639
17990,8369
18649,8651
19183,8556
19361,8227
19344,7898
19024,7580
18432,7255
17669,6941
17069,6582
16640,6109
14006,6305
13628,6170
12750,6278
11789,6307
9238,6412
10523,7091
11735,7817
12878,8580
14126,9273
15426,9770
16682,9958
17835,9788
18856,9306
19938,8660
21013,8094
22047,7608
23065,7222
24065,6902
25025,6586
25929,6211
17090,6180
17411,7219
18183,7932
18913,8418
19473,8498
19747,8255
19678,7845
19300,7410
18676,7001
17932,6601
17165,6149
11649,6719
13309,7442
14887,8108
16419,8681
17780,9213
18970,9666
19978,9969
20917,10132
21760,10035
22483,9736
23099,9317
23633,9023
24089,8631
24469,8123
24770,7480
25005,6835
25319,6141
17405,6161
17807,7017
18258,7534
18787,7673
19074,7557
19060,7216
18764,6795
18257,6389
12355,6175
12105,6165
11641,6119
13712,6812
15985,7526
18109,8190
19927,8745
21346,9138
22416,9331
23308,9445
23914,9478
24311,9571
24559,9514
24675,9460
24668,9459
24558,9312
24364,8975
24074,8416
23975,7630
24259,6665
25655,6148
25914,6311
26174,6272
18427,6400
18721,6430
18806,6225
9033,6188
9588,6443
10220,6605
10907,6599
11612,6423
7051,6102
6027,6597
13173,6204
15516,6768
18010,7352
20401,7931
22463,8438
23990,8811
25215,8995
25939,8953
26268,8688
26296,8426
26084,8393
25703,8358
25201,8616
24587,8770
23878,8766
23631,8537
23376,8035
23072,7257
22766,6260
23944,6478
23738,6681
23949,6865
24627,6850
25281,6578
25848,6126
9197,6526
9472,6817
9785,6946
10124,6892
10673,6732
11274,6513
8745,6575
7667,7269
6390,7781
14688,6285
16791,6657
19088,7065
21404,7470
23474,7823
25201,8124
26472,8309
27186,8341
27399,8219
27192,7802
26703,7247
26028,7022
25200,7061
24848,7352
24370,7599
23712,7828
22914,7733
22049,7271
21200,6496
22056,6699
22263,7216
22545,7537
22905,7493
23320,7127
23743,6715
24189,6235
9656,6108
9931,6459
10196,6781
10468,6963
10755,6940
11043,6653
11297,6240
12684,6377
11600,6606
10329,7157
9083,7612
7549,7903
5913,7672
10221,6112
11339,6141
12348,6120
14091,6110
14911,6170
16107,6286
17680,6459
19467,6686
21322,6947
23141,7209
24849,7423
26065,7542
26732,7526
26884,7361
26625,7151
26099,6720
26229,6143
23964,6442
22747,6686
21396,6667
20548,6339
20740,6585
20481,7331
20338,7760
20325,7837
21135,7895
22007,7579
22803,7013
23438,6364
10923,6202
11212,6471
11510,6535
11808,6305
15078,6242
14355,6445
13209,6749
11598,7078
9947,7182
8243,7045
6476,6457
13779,6172
