ch1,ch2
37291,31862
37772,25804
38673,20475
39699,16340
40526,13491
40872,11811
40900,11091
40872,11117
39821,11636
38039,12357
36825,12931
36264,13181
35966,12662
35809,11518
35569,10112
35089,8652
34330,8841
33410,9304
32562,9598
31977,9631
31849,9343
32210,9305
32979,10299
33883,11334
34564,12076
34730,12469
34199,12592
33047,12650
31507,13645
29908,14959
28545,15577
27621,16085
27200,17183
27232,18282
27523,18559
27821,17750
27846,15969
27378,15432
26314,17425
24710,19232
22741,20484
20655,20788
18647,19936
16801,18672
15157,17607
13656,15829
12237,14568
10849,14180
9507,14286
8227,15003
7067,16013
6365,37957
6815,39430
7433,38838
8194,36496
9026,33015
9833,29075
10509,25237
10987,21832
11232,19501
11269,17376
11177,18622
11057,20083
10985,21045
11040,21336
11240,21431
11621,21420
12138,20728
12723,19460
13299,17853
13802,16192
14197,14797
14515,16305
14814,17754
15193,18947
15704,20085
16347,23104
17128,26053
17969,28631
18804,30541
19615,31584
20446,31665
21402,32126
22636,32329
24280,31820
26399,30513
29021,29970
32008,29594
34995,31542
37529,33666
39089,35140
39270,34557
38042,32026
35677,30263
32778,27327
30035,25863
27988,25559
26616,24879
26610,23875
27823,22712
30165,22493
33414,23097
37124,25312
40701,29698
43513,34232
45094,38336
45290,41370
44314,42888
42590,46416
40654,47330
39261,45440
38424,41136
37974,35303
38383,29025
40483,23271
42974,18627
45518,15291
47609,13187
48897,12114
49046,11831
48100,12085
46345,12581
44158,13014
41917,13126
39985,12669
38632,11743
37828,10499
37248,9187
36689,8060
36016,8059
35141,8399
34177,9091
33319,10056
32797,11146
32867,12138
33747,12777
35023,12898
36421,12523
37560,11848
38107,11472
37861,11336
36827,11613
35225,12369
33394,13524
31682,14855
30682,15927
31008,16276
31308,15611
31331,14404
30901,12983
29996,14427
28678,16390
27148,17914
25605,18637
24173,18865
22888,19242
21681,18571
20501,17061
19218,15989
17788,14693
16217,14230
14571,14948
12980,15919
11527,16840
10231,17744
9079,19870
8074,22580
7161,24930
6281,26795
6479,15951
7292,18504
7998,21915
8540,26006
8926,30379
9242,34471
9618,37641
10159,39442
10906,39216
11848,37239
12890,33941
13890,30107
14693,26206
15193,22571
15372,19348
15289,20174
15051,21665
14814,23197
14673,24710
14691,25740
14953,26079
15409,25654
16052,24514
16766,22851
17478,20934
18140,19044
18726,17416
19315,16871
19917,17952
20619,19748
21448,21847
22378,23791
23337,25395
24249,26509
25043,27069
25723,27810
26376,28268
27125,28331
28170,28069
29686,27424
31724,26693
34239,27182
37056,30322
39786,33854
41900,36546
42892,37713
42417,37019
40506,37261
38915,36325
37650,33170
35532,28637
33023,23844
30635,21373
29153,20646
29048,20261
29855,20213
32603,21190
35888,23658
39068,26679
41572,29987
42937,33182
44197,35775
45595,40670
45807,44209
45068,45642
43816,44591
42510,41172
41577,36023
42730,30143
44557,24510
46873,19798
49289,16317
51372,14048
52662,12827
52900,12419
52064,12584
50377,13383
48255,13994
46077,14011
44151,13398
42634,12639
41476,11543
40556,10344
39686,9278
38787,9309
37814,9833
36908,10693
36259,11774
36067,12865
36477,13658
37517,13870
39080,13391
40930,12388
42696,11174
44015,10106
44603,9444
44388,9327
43503,9916
42227,11044
40893,12428
39755,13773
38904,14787
38305,14908
