ch1,ch2
4054,12666
4222,9661
2024,11738
2347,12076
2417,11991
2193,11822
1914,8192
2435,9752
3084,10755
3856,11118
4545,10842
4914,10063
4777,8998
4126,7883
3227,6660
3077,8223
3515,10470
3735,12055
3758,13040
3694,13588
3647,13252
3714,11685
4052,8754
1901,11581
2103,11310
2097,11307
2560,9956
3368,10445
4209,10270
4899,9590
5144,8607
4820,7488
4018,6322
3148,7038
3637,9250
3838,11034
3744,12003
3513,12147
3292,12121
3170,11711
3216,10105
3568,7438
1914,10430
1989,8593
2817,9187
3746,9133
4634,8572
5249,7697
5314,6696
3313,6447
4140,8599
4488,10525
4323,11704
3849,11951
3316,11235
2889,10333
2635,9774
2628,8280
2186,6313
2194,7444
3118,7464
4086,7029
4973,6339
4392,7963
5159,9950
5210,11471
4644,12031
3799,11588
2992,10204
2386,8664
2062,7822
1982,6656
3554,6823
2814,8047
2005,8427
2460,6572
4015,6808
5226,8964
5808,10708
5538,11755
4626,11755
3510,10715
2545,8806
3033,8195
2280,8969
1923,11092
1918,11829
1930,11759
2064,10675
2299,8749
2663,6446
4509,7303
5511,9038
5778,10442
5213,11064
4113,10646
2926,9209
1978,7061
7985,6367
6951,6667
3134,6973
2794,8745
2037,8677
2146,6498
2172,7293
1968,7563
1968,10002
2025,11050
2086,11728
2130,11619
2216,10513
2390,8563
2668,6231
4588,6822
5192,7949
5141,8966
4464,9249
3390,8606
2305,7172
2137,7394
7282,6841
6238,7013
4961,6304
3076,7793
2749,8614
2018,7619
2018,6443
2028,9896
2148,10871
2169,11466
2165,11304
2204,10189
2326,8263
2566,6858
2735,7267
2635,6606
4365,6529
3574,6708
2575,6561
2124,6943
6431,6603
5826,7404
4941,7522
3890,6867
3014,6981
3278,8343
2896,8084
2123,6341
2098,9314
2188,10098
2173,10520
2132,10280
2135,9226
2215,7472
3787,6492
3515,6266
4656,7095
4065,7806
3395,7874
2646,7214
3173,8060
3318,8615
2841,7405
2038,8532
2147,8963
2146,9136
2107,8894
2094,8145
2196,6909
3166,7275
2667,7957
2153,8077
2518,7048
2935,8789
2902,8622
2387,6745
1987,7826
2073,7854
2097,7581
2193,6943
1988,12668
2002,14147
2059,14102
2174,13193
2301,11399
2379,9152
2394,7465
2408,6246
4883,6847
6195,7224
7085,6775
2191,7162
2070,7620
2227,9048
2072,8424
1911,6448
2808,6373
6484,6390
5489,6307
1985,9547
2449,12144
2818,13485
3137,13357
3425,11983
3604,9891
3608,7471
4157,6380
5314,7718
6308,8515
